"azon","nev","tipus","alapitas_eve","telepules_id","URL"
"1","Tiffán Ede és Fia Pincészet","családi","1990","1",""
"2","Vylyan Szőlőbirtok és Pincészet","nagybirtok","1998","1",""
"3","Bock Pincészet","családi","1989","1",""
"4","Csányi Pincészet","nagybirtok","1995","2",""
"5","Gróf Degenfeld Kastélypince","kastélypince","1997","3",""
"6","Tokaj Kereskedőház","szövetkezeti","1990","3",""
"7","Disznókő Szőlőbirtok","nagybirtok","1992","4",""
"8","Oremus Pincészet","családi","1993","4",""
"9","Szepsy Pincészet","családi","1988","4",""
"10","Dobogó Pincészet","családi","2000","4",""
"11","Gere Attila Pincészet","családi","1991","1",""
"12","Malatinszky Kúria és Pincészet","kastélypince","2000","1",""
"13","Heimann Pincészet","családi","1992","5",""
"14","Takler Pincészet","családi","1994","5",""
"15","Vida Péter Pincészete","családi","2002","6",""
"16","St. Andrea Szőlőbirtok","nagybirtok","2000","7",""
"17","Bolyki Pincészet","családi","1995","7",""
"18","Kovács Nimród Winery","családi","2003","7",""
"19","Thummerer Pince","családi","1989","7",""
"20","Konyári Pincészet","családi","1991","8",""
"21","Szeremley Birtok","nagybirtok","1990","8",""
"22","Figula Pincészet","családi","1993","9",""
"23","Jásdi Pincészet","családi","2001","9",""
"24","Tornai Pincészet","nagybirtok","1990","10",""
"25","Neszmélyi Szőlőskert","szövetkezeti","1988","11",""
"26","Hilltop Neszmély","nagybirtok","1993","11",""
"27","Frittmann Testvérek","családi","1998","12",""
"28","Sauska Pincészet","nagybirtok","2003","1",""
"29","Mérész Erzsébet Pincészete","családi","2005","13",""
"30","Pók-Polonyi Pincészet","családi","1997","14",""
"31","Patricius Borház","nagybirtok","1999","4",""
"32","Château Dereszla","kastélypince","2002","4",""
"33","Demeter Zoltán Pincészete","családi","1995","4",""
"34","Kikelet Pince","családi","2004","4",""
"35","Budaházy Pince","családi","1996","15",""
"36","Etyeki Kúria","kastélypince","1993","16",""
"37","Haraszthy Pincészet","nagybirtok","1998","16",""
"38","Nyakas Pincészet","nagybirtok","1985","16",""
"39","Kamocsay Pincészet","családi","1990","17",""
"40","Ászár-Neszmély Borvidék Zrt.","szövetkezeti","1982","11",""
