"id","nev","megye_id","borvidek"
"1","Villány","2","Villányi"
"2","Eger","10","Egri"
"3","Tokaj","7","Tokaj"
"4","Mád","7","Tokaj"
"5","Szekszárd","17","Szekszárdi"
"6","Pécsvárad","2","Pécsi"
"7","Eger","10","Egri"
"8","Keszthely","20","Balatoni"
"9","Balatonfüred","20","Balatoni"
"10","Somló","20","Somlói"
"11","Neszmély","11","Neszmélyi"
"12","Hajós","6","Hajós-Bajai"
"13","Balatonlelle","14","Balatoni"
"14","Badacsony","20","Badacsonyi"
"15","Etyek","1","Etyeki-Budai"
"16","Etyek","1","Etyeki-Budai"
"17","Mór","7","Móri"
