"id","nev","megye_id"
"1","Eger","10"
"2","Visegrád","14"
"3","Budapest","1"
"4","Sümeg","20"
"5","Boldogkő Váralja","7"
"6","Esztergom","14"
"7","Pécs","2"
"8","Pannonhalma","8"
"9","Tihany","20"
"10","Miskolc","5"
"11","Szigetvár","2"
"12","Kőszeg","19"
"13","Sárospatak","7"
"14","Füzér","7"
"15","Döbrönte","20"
"16","Csesznek","8"
"17","Somlóvásárhely","20"
"18","Tata","11"
"19","Drégely Palánk","12"
"20","Hollókő","12"
"21","Nógrád","12"
"22","Simontornya","17"
"23","Gyula","4"
"24","Boldva","5"
"25","Ják","19"
"26","Lébény","8"
"27","Sopron","9"
"28","Zirc","20"
"29","Báta","17"
"30","Győr","8"
"31","Székesfehérvár","7"
"32","Veszprém","20"
"33","Ópusztaszer","16"
"34","Kecskemét","6"
