azon,nev,fajta,lelohely_id,gyujtes_eve,hasznositas
1,"közönséges kamilla","Matricaria chamomilla",3,2021,"gyógyászat"
2,"orvosi zsálya","Salvia officinalis",7,2019,"gyógyászat"
3,"fodormenta","Mentha spicata",12,2022,"élelmiszer"
4,"orvosi levendula","Lavandula angustifolia",5,2020,"kozmetika"
5,"közönséges orbáncfű","Hypericum perforatum",2,2021,"gyógyászat"
6,"fekete bodza","Sambucus nigra",9,2018,"élelmiszer"
7,"orvosi borágó","Borago officinalis",14,2022,"gyógyászat"
8,"közönséges cickafark","Achillea millefolium",1,2020,"gyógyászat"
9,"kerti kapor","Anethum graveolens",6,2023,"élelmiszer"
10,"orvosi citromfű","Melissa officinalis",11,2019,"gyógyászat"
11,"kerti rozmaring","Salvia rosmarinus",5,2021,"élelmiszer"
12,"fehér üröm","Artemisia absinthium",8,2018,"gyógyászat"
13,"közönséges kakukkfű","Thymus vulgaris",3,2022,"élelmiszer"
14,"orvosi mályva","Malva sylvestris",10,2020,"gyógyászat"
15,"mezei zsurló","Equisetum arvense",4,2019,"gyógyászat"
16,"orvosi körömvirág","Calendula officinalis",7,2023,"kozmetika"
17,"nagy útifű","Plantago major",2,2021,"gyógyászat"
18,"fekete nadálytő","Symphytum officinale",13,2020,"gyógyászat"
19,"közönséges macskagyökér","Valeriana officinalis",6,2022,"gyógyászat"
20,"orvosi ánizs","Pimpinella anisum",1,2018,"élelmiszer"
21,"kerti zsálya","Salvia officinalis",9,2023,"kozmetika"
22,"hegyi árnika","Arnica montana",15,2021,"gyógyászat"
23,"fehér mályva","Althaea officinalis",4,2019,"gyógyászat"
24,"közönséges galaj","Galium aparine",11,2020,"gyógyászat"
25,"orvosi gólyaorr","Geranium robertianum",8,2022,"gyógyászat"
26,"kerti kakukkfű","Thymus vulgaris",14,2023,"élelmiszer"
27,"orvosi párlófű","Agrimonia eupatoria",3,2018,"gyógyászat"
28,"közönséges lizinka","Lysimachia vulgaris",10,2021,"gyógyászat"
29,"erdei mályva","Malva neglecta",7,2022,"gyógyászat"
30,"orvosi katáng","Cichorium intybus",2,2020,"élelmiszer"
31,"kerti borkóró","Tanacetum vulgare",5,2019,"gyógyászat"
32,"mezei árvácska","Viola tricolor",12,2023,"kozmetika"
33,"orvosi nadragulya","Atropa belladonna",1,2021,"gyógyászat"
34,"közönséges páfrány","Dryopteris filix-mas",9,2022,"gyógyászat"
35,"kerti majoranna","Origanum majorana",6,2020,"élelmiszer"
36,"fehér here","Trifolium repens",4,2018,"gyógyászat"
37,"orvosi csucsor","Solanum dulcamara",13,2023,"gyógyászat"
38,"mezei kökörcsin","Pulsatilla pratensis",15,2021,"kozmetika"
39,"kerti tárkony","Artemisia dracunculus",8,2019,"élelmiszer"
40,"közönséges ibolya","Viola odorata",3,2022,"kozmetika"
