"azon","faj","kormeret","telepules_id","meres"
"1","közönséges bükk","420","1","2007"
"2","kocsányos tölgy","527","2","2010"
"3","közönséges bükk","423","3","2009"
"4","közönséges bükk","470","4","2008"
"5","kocsányos tölgy","603","5","2002"
"6","közönséges bükk","407","6","2010"
"7","magas kőris","595","7","2007"
"8","kocsányos tölgy","657","8","2003"
"9","közönséges bükk","403","9","2008"
"10","hárs","474","10","2003"
"11","fekete nyár","760","11","2011"
"12","kocsányos tölgy","530","12","2004"
"13","fehér nyár","654","13","2010"
"14","közönséges bükk","415","14","2009"
"15","kocsányos tölgy","503","15","2009"
"16","kocsányos tölgy","553","16","2004"
"17","közönséges bükk","439","17","2009"
"18","szelídgesztenye","694","18","2009"
"19","házi berkenye","258","19","2011"
"20","hegyi szil","430","13","2009"
"21","tulipánfa","415","20","2010"
"22","közönséges bükk","477","14","2006"
"23","mocsárciprus","516","21","2003"
"24","közönséges bükk","421","9","2008"
"25","csertölgy","554","22","2004"
"26","ostorfa","362","23","2010"
"27","juharlevelű platán","737","24","2004"
"28","közönséges bükk","402","25","2007"
"29","közönséges bükk","616","17","2008"
"30","közönséges bükk","476","6","2010"
"31","közönséges bükk","482","26","2007"
"32","hárs","438","27","2004"
"33","fehér eper","482","28","2011"
"34","ginkgo","435","29","2007"
"35","közönséges bükk","434","30","2010"
"36","vadcseresznye","415","30","2010"
"37","kocsányos tölgy","500","31","2009"
"38","közönséges bükk","400","32","2011"
"39","fehér nyár","602","33","2002"
"40","mezei szil","475","34","2009"
"41","közönséges bükk","476","17","2008"
"42","közönséges bükk","507","17","2008"
"43","kocsányos tölgy","529","35","2005"
"44","közönséges bükk","476","36","2004"
"45","közönséges bükk","439","32","2011"
"46","közönséges bükk","471","30","2010"
"47","ostorfa","344","37","2009"
"48","közönséges bükk","445","9","2008"
"49","kocsányos tölgy","589","38","2004"
"50","magyar kőris","670","35","2009"
"51","fekete nyár","853","39","2011"
"52","fűz","709","40","2010"
"53","közönséges bükk","406","14","2010"
"54","fekete nyár","685","41","2003"
"55","közönséges bükk","430","42","2010"
"56","kocsányos tölgy","510","43","2003"
"57","közönséges bükk","503","30","2010"
"58","csertölgy","534","44","2009"
"59","fekete nyár","699","45","2009"
"60","fekete nyár","635","43","2007"
"61","kocsányos tölgy","624","46","2003"
"62","közönséges bükk","435","1","2007"
"63","hegyi juhar","376","47","2009"
"64","közönséges bükk","446","17","2008"
"65","közönséges bükk","432","1","2007"
"66","kocsányos tölgy","581","48","2003"
"67","óriás mamutfenyő","663","49","2007"
"68","fekete nyár","620","50","2006"
"69","közönséges bükk","436","30","2010"
"70","kocsányos tölgy","613","18","2003"
"71","fekete nyár","662","51","2009"
"72","kocsányos tölgy","606","52","2003"
"73","kocsányos tölgy","557","12","2004"
"74","közönséges bükk","472","53","2010"
"75","korai juhar","515","54","2009"
"76","szelídgesztenye","551","55","2005"
"77","hárs","400","18","2004"
"78","gyertyán","367","56","2009"
"79","fekete nyár","622","57","2007"
"80","kocsányos tölgy","509","58","2007"
"81","mocsárciprus","435","59","2010"
"82","kocsányos tölgy","574","20","2011"
"83","kocsányos tölgy","652","60","2003"
"84","közönséges bükk","447","61","2007"
"85","kocsányos tölgy","585","62","2006"
"86","kocsányos tölgy","525","63","2003"
"87","közönséges bükk","485","32","2005"
"88","hárs","458","64","2004"
"89","kislevelű hárs","561","17","2008"
"90","kocsányos tölgy","680","65","2002"
"91","kocsányos tölgy","501","66","2011"
"92","közönséges bükk","491","14","2009"
"93","kocsányos tölgy","571","67","2010"
"94","kocsányos tölgy","596","68","2008"
"95","kocsányos tölgy","562","69","2002"
"96","kocsányos tölgy","532","43","2005"
"97","kislevelű hárs","491","27","2009"
"98","kocsánytalan tölgy","538","9","2008"
"99","közönséges bükk","473","32","2011"
"100","szelídgesztenye","570","49","2004"
"101","közönséges bükk","403","1","2007"
"102","fehér akác","358","70","2010"
"103","kocsányos tölgy","600","44","2009"
"104","közönséges bükk","400","9","2008"
"105","közönséges bükk","419","71","2009"
"106","ginkgo","527","72","2006"
"107","juharlevelű platán","635","73","2008"
"108","fekete nyár","642","45","2009"
"109","zöld juhar","352","41","2009"
"110","csertölgy","558","74","2008"
"111","közönséges bükk","415","1","2007"
"112","gyertyán","362","42","2010"
"113","közönséges bükk","574","75","2009"
"114","kocsányos tölgy","507","76","2008"
"115","kocsányos tölgy","528","77","2004"
"116","fehér fűz","689","78","2008"
"117","kocsányos tölgy","502","79","2011"
"118","kocsányos tölgy","514","52","2003"
"119","juharlevelű platán","600","80","2003"
"120","szelídgesztenye","515","81","2011"
"121","kocsányos tölgy","611","82","2005"
"122","kocsányos tölgy","564","83","2010"
"123","közönséges bükk","430","84","2009"
"124","juharlevelű platán","660","85","2004"
"125","fekete nyár","735","86","2007"
"126","tulipánfa","552","46","2010"
"127","kocsányos tölgy","606","20","2011"
"128","közönséges bükk","439","32","2011"
"129","gyertyán","355","9","2008"
"130","borostyán","85","47","2008"
"131","kocsányos tölgy","512","41","2003"
"132","kocsányos tölgy","501","87","2005"
"133","közönséges bükk","441","32","2011"
"134","kocsányos tölgy","591","35","2009"
"135","közönséges bükk","435","17","2009"
"136","közönséges bükk","425","71","2009"
"137","közönséges bükk","553","75","2009"
"138","közönséges bükk","412","17","2008"
"139","közönséges bükk","403","32","2011"
"140","vénic szil","463","88","2011"
"141","közönséges bükk","495","1","2007"
"142","kislevelű hárs","475","89","2008"
"143","hárs","475","90","2008"
"144","lucfenyő","330","91","2009"
"145","kocsányos tölgy","534","92","2010"
"146","közönséges bükk","412","93","2011"
"147","fehér akác","435","20","2011"
"148","magas kőris","579","94","2010"
"149","közönséges bükk","502","35","2009"
"150","kocsányos tölgy","586","43","2003"
"151","kocsányos tölgy","510","41","2009"
"152","kocsányos tölgy","508","58","2007"
"153","közönséges bükk","442","1","2007"
"154","fehér nyár","673","95","2007"
"155","fekete nyár","719","57","2006"
"156","zöld juhar","415","23","2010"
"157","fekete nyár","685","40","2011"
"158","fehér fűz","620","41","2011"
"159","fekete nyár","665","39","2011"
"160","közönséges bükk","587","96","2003"
"161","kocsányos tölgy","510","35","2009"
"162","kocsányos tölgy","504","97","2010"
"163","kocsányos tölgy","600","43","2003"
"164","fehér nyár","665","98","2007"
"165","kocsányos tölgy","538","15","2009"
"166","közönséges bükk","473","1","2007"
"167","közönséges bükk","468","42","2008"
"168","óriás mamutfenyő","630","47","2009"
"169","kocsányos tölgy","638","41","2003"
"170","kocsányos tölgy","684","99","2004"
"171","tiszafa","263","41","2011"
"172","juharlevelű platán","664","24","2004"
"173","duglászfenyő","341","29","2007"
"174","kocsányos tölgy","665","21","2003"
"175","kocsányos tölgy","540","100","2004"
"176","fűz","602","101","2010"
"177","fekete nyár","608","39","2011"
"178","közönséges bükk","420","14","2006"
"179","hegyi juhar","455","102","2009"
"180","közönséges bükk","437","32","2011"
"181","közönséges bükk","426","103","2009"
"182","kocsányos tölgy","540","104","2008"
"183","hárs","502","105","2006"
"184","kocsányos tölgy","527","60","2003"
"185","kocsányos tölgy","577","60","2003"
"186","kocsányos tölgy","511","106","2003"
"187","kocsányos tölgy","617","107","2005"
"188","közönséges bükk","435","1","2007"
"189","kocsányos tölgy","582","108","2003"
"190","kocsányos tölgy","500","109","2009"
"191","közönséges bükk","410","3","2009"
"192","kocsányos tölgy","509","110","2003"
"193","kocsányos tölgy","543","111","2011"
"194","fehér fűz","804","112","2006"
"195","kocsánytalan tölgy","534","113","2008"
"196","kocsányos tölgy","506","114","2008"
"197","kocsányos tölgy","576","65","2002"
"198","csertölgy","548","115","2003"
"199","közönséges bükk","505","116","2002"
"200","cseresznye","336","117","2010"
"201","kocsányos tölgy","634","118","2003"
"202","közönséges bükk","518","17","2008"
"203","közönséges bükk","449","35","2003"
"204","lucfenyő","340","119","2010"
"205","hárs","405","105","2006"
"206","közönséges bükk","512","120","2010"
"207","közönséges bükk","420","42","2010"
"208","kocsányos tölgy","520","121","2008"
"209","kocsányos tölgy","548","27","2010"
"210","kocsányos tölgy","562","122","2008"
"211","kocsányos tölgy","545","58","2007"
"212","fekete nyár","647","123","2008"
"213","közönséges bükk","431","17","2008"
"214","gyertyán","306","56","2009"
"215","juharlevelű platán","624","119","2008"
"216","vénic szil","405","124","2011"
"217","közönséges bükk","465","4","2008"
"218","szelídgesztenye","520","49","2008"
"219","csertölgy","537","22","2009"
"220","szelídgesztenye","563","19","2004"
"221","kocsányos tölgy","511","125","2008"
"222","közönséges bükk","460","1","2007"
"223","vénic szil","582","126","2010"
"224","törökmogyoró","374","37","2009"
"225","vadkörte","304","127","2009"
"226","csertölgy","507","6","2010"
"227","kocsányos tölgy","548","43","2005"
"228","közönséges bükk","531","128","2006"
"229","japánakác","485","129","2004"
"230","fekete nyár","794","130","2010"
"231","magyar kőris","562","52","2003"
"232","fekete nyár","670","131","2010"
"233","közönséges bükk","410","132","2011"
"234","közönséges bükk","450","120","2010"
"235","kocsányos tölgy","525","133","2003"
"236","kocsányos tölgy","540","41","2009"
"237","szelídgesztenye","733","134","2001"
"238","szürke nyár","756","135","2003"
"239","japánakác","474","136","2007"
"240","nagylevelű hárs","622","137","2003"
"241","tulipánfa","578","138","2007"
"242","magas kőris","550","133","2003"
"243","fekete nyár","681","123","2008"
"244","kislevelű hárs","507","139","2010"
"245","hárs","458","140","2005"
"246","fekete nyár","996","141","2005"
"247","közönséges bükk","473","14","2009"
"248","fehér fűz","780","142","2009"
"249","juharlevelű platán","705","143","2008"
"250","gyertyán","317","1","2007"
"251","hárs","468","105","2006"
"252","kislevelű hárs","515","30","2010"
"253","kocsányos tölgy","550","43","2003"
"254","közönséges bükk","510","1","2007"
"255","közönséges bükk","404","144","2010"
"256","fehér fűz","605","41","2009"
"257","kocsányos tölgy","515","145","2009"
"258","szelídgesztenye","554","19","2005"
"259","közönséges bükk","522","14","2009"
"260","hárs","452","146","2003"
"261","kocsányos tölgy","590","69","2002"
"262","juharlevelű platán","732","147","2003"
"263","kocsányos tölgy","540","148","2002"
"264","kocsányos tölgy","510","94","2010"
"265","szelídgesztenye","759","19","2003"
"266","kocsányos tölgy","502","149","2010"
"267","közönséges bükk","411","30","2010"
"268","vénic szil","516","131","2010"
"269","kocsányos tölgy","555","150","2003"
"270","óriás tuja","341","119","2010"
"271","kocsányos tölgy","523","43","2003"
"272","feketefenyő","312","151","2009"
"273","közönséges bükk","444","14","2009"
"274","fekete nyár","652","40","2011"
"275","fekete nyár","631","43","2003"
"276","közönséges bükk","536","70","2010"
"277","kocsányos tölgy","980","152","2004"
"278","fekete nyár","698","153","2003"
"279","mezei juhar","340","154","2007"
"280","kocsányos tölgy","678","155","2003"
"281","kocsányos tölgy","604","156","2003"
"282","kocsánytalan tölgy","707","157","2003"
"283","kocsányos tölgy","581","52","2003"
"284","kocsányos tölgy","500","94","2010"
"285","kocsányos tölgy","555","158","2003"
"286","fekete nyár","751","159","2009"
"287","juharlevelű platán","861","160","2002"
"288","szelídgesztenye","530","10","2003"
"289","közönséges bükk","444","32","2011"
"290","kocsányos tölgy","512","35","2009"
"291","közönséges bükk","407","32","2011"
"292","közönséges bükk","450","9","2008"
"293","fekete nyár","738","40","2011"
"294","juharlevelű platán","606","161","2004"
"295","enyves éger","458","162","2008"
"296","szelídgesztenye","640","163","2004"
"297","kocsányos tölgy","721","164","2004"
"298","mocsárciprus","366","59","2010"
"299","közönséges bükk","462","1","2007"
"300","nagylevelű hárs","514","165","2004"
"301","fűz","823","46","2003"
"302","juharlevelű platán","631","166","2003"
"303","kocsányos tölgy","533","167","2003"
"304","gyertyán","327","127","2009"
"305","szelídgesztenye","736","168","2004"
"306","csertölgy","608","115","2003"
"307","vadgesztenye","526","166","2003"
"308","nagylevelű hárs","583","169","2008"
"309","közönséges bükk","476","17","2008"
"310","közönséges bükk","435","47","2004"
