"id","nev","megyeid"
"1","Bükkszentkereszt","4"
"2","Őcsény","16"
"3","Vásárosbéc","2"
"4","Herend","18"
"5","Belezna","19"
"6","Eszteregnye","19"
"7","Csobád","4"
"8","Hetényegyháza","1"
"9","Sikonda","2"
"10","Szeleste","17"
"11","Tahitótfalu","13"
"12","Kerkafalva","19"
"13","Fenékpuszta","19"
"14","Pénzesgyőr","18"
"15","Túristvándi","15"
"16","Kálócfa","19"
"17","Monostorapáti","18"
"18","Bak","19"
"19","Zengővárkony","2"
"20","Somogytarnóca","14"
"21","Martonvásár","6"
"22","Nagyrécse","19"
"23","Mezőhegyes","3"
"24","Eger","9"
"25","Háromkő","9"
"26","Felsőmarác","17"
"27","Zirc","18"
"28","Pilisvörösvár","13"
"29","Iharos","14"
"30","Olaszfalu","18"
"31","Golop","4"
"32","Püspökszentlászló","2"
"33","Algyő","5"
"34","Kisgörbő","19"
"35","Lad","14"
"36","Tátika","19"
"37","Kajdacs","16"
"38","Parádfürdő","9"
"39","Rákóczifalva","10"
"40","Gemenc","1"
"41","Gemenc","16"
"42","Hárskút","18"
"43","Sárvár","17"
"44","Somogytúr","14"
"45","Szekszárd","16"
"46","Csokonyavisonta","14"
"47","Kőszeg","17"
"48","Mátraverebély","12"
"49","Iharosberény","14"
"50","Nyergesújfalu","11"
"51","Karapancsa","1"
"52","Dénesfa","7"
"53","Lókút","18"
"54","Alsóhídvégpuszta","16"
"55","Babócsa","14"
"56","Vöröstó","18"
"57","Hódmezővásárhely","5"
"58","Bogyiszló","16"
"59","Devecser","18"
"60","Péterhida","14"
"61","Sárszentmihály","6"
"62","Bácsborsód","1"
"63","Bóly","2"
"64","Füzérradvány","4"
"65","Drávasztára","2"
"66","Letenye","19"
"67","Óföldeák","5"
"68","Noszvaj","9"
"69","Vátyonpuszta","3"
"70","Tardos","11"
"71","Magyarlukafa","2"
"72","Acsád","17"
"73","Fót","13"
"74","Kaposvár","14"
"75","Lillafüred","4"
"76","Lepsény","6"
"77","Iklódbördőce","19"
"78","Drégelypalánk","12"
"79","Tápióság","13"
"80","Cégénydányád","15"
"81","Egervár","19"
"82","Mike","14"
"83","Pacsérvisnye","14"
"84","Bánkút","4"
"85","Pápa","18"
"86","Szegvár","5"
"87","Diósjenő","12"
"88","Nagykáta","13"
"89","Mezőcsokonya","14"
"90","Kislőd","18"
"91","Sopron","7"
"92","Fadd","16"
"93","Szászvár","2"
"94","Kéked","4"
"95","Belegrád","4"
"96","Gyenesdiás","19"
"97","Vinye","7"
"98","Bagamér","8"
"99","Csákánydoroszló","17"
"100","Nyársapát","13"
"101","Lovasberény","6"
"102","Szentlélek","4"
"103","Telkibánya","4"
"104","Gézaháza","18"
"105","Kaposmérő","14"
"106","Vizslás","12"
"107","Buják","12"
"108","Lentiszombathely","19"
"109","Csorna","7"
"110","Kajárpéc","7"
"111","Komlósd","14"
"112","Kiskunfélegyháza","1"
