"azon","faj","kormeret","telepules_id","meres"
"1","közönséges bükk","420","1","2007"
"2","kocsányos tölgy","527","2","2010"
"3","közönséges bükk","423","3","2009"
"4","közönséges bükk","470","4","2008"
"5","kocsányos tölgy","603","5","2002"
"6","közönséges bükk","407","6","2010"
"7","magas kőris","595","7","2007"
"8","kocsányos tölgy","657","8","2003"
"9","közönséges bükk","403","9","2008"
"10","hárs","474","10","2003"
"11","fekete nyár","760","11","2011"
"15","kocsányos tölgy","503","15","2009"
"16","kocsányos tölgy","553","16","2004"
"18","szelídgesztenye","694","18","2009"
"19","házi berkenye","258","19","2011"
"20","hegyi szil","430","13","2009"
"23","mocsárciprus","516","21","2003"
"25","csertölgy","554","22","2004"
"26","ostorfa","362","23","2010"
"27","juharlevelű platán","737","24","2004"
"28","közönséges bükk","402","25","2007"
"31","közönséges bükk","482","26","2007"
"33","fehér eper","482","28","2011"
"34","ginkgo","435","29","2007"
"35","közönséges bükk","434","30","2010"
"37","kocsányos tölgy","500","31","2009"
"38","közönséges bükk","400","32","2011"
"40","mezei szil","475","34","2009"
"43","kocsányos tölgy","529","35","2005"
"44","közönséges bükk","476","36","2004"
"47","ostorfa","344","37","2009"
"49","kocsányos tölgy","589","38","2004"
"51","fekete nyár","853","39","2011"
"52","fűz","709","40","2010"
"73","kocsányos tölgy","557","12","2004"
"82","kocsányos tölgy","574","20","2011"
"89","kislevelű hárs","561","17","2008"
"92","közönséges bükk","491","14","2009"
"97","kislevelű hárs","491","27","2009"
"99","közönséges bükk","473","32","2011"
"119","juharlevelű platán","600","80","2003"
"120","szelídgesztenye","515","81","2011"
"121","kocsányos tölgy","611","82","2005"
"122","kocsányos tölgy","564","83","2010"
"123","közönséges bükk","430","84","2009"
"124","juharlevelű platán","660","85","2004"
"125","fekete nyár","735","86","2007"
