id,szemely,hely,avatas,rogzites,kep_url
30,Ho-Si-Minh,Budapest,1970,2008-12-31,
285,Rodolfo,Budapest,2011,2011-07-15,
307,Petőfi Sándor,Püspökladány,1996,2012-09-24,
439,Bocskai István,Biharkeresztes,1990,2009-05-04,
474,Michelberger Pál,Kecskemét,2014,2014-10-18,
800,Jedlik Ányos,Budapest,1968,2009-04-08,
950,Hardy Gyula,Kecskemét,2004,2008-05-10,
1450,Horn Gyula,Marcali,2013,2013-10-30,
1498,Beszédes József,Székesfehérvár,1973,2009-07-04,
1635,Zorkóczy Béla,Miskolc-Egyetemváros,1996,2009-11-10,
1690,Hunyadi János,Mezőkovácsháza,1977,2010-04-11,
1708,Benyovszky Móric,Rigyác,2009,2018-11-28,
1736,Vedres István,Szeged,1979,2014-11-13,
1987,Vedres István,Szeged,1975,2010-03-29,
2015,Michelberger Pál,Budapest,2016,2016-03-26,
2078,Ördögh Szilveszter,Budapest,2017,2017-04-24,
2094,Bezerédj István,Szedres,1988,2006-06-26,
2446,Fejtő Ferenc,Budapest,2008,2009-06-09,
2464,Vándor Sándor,Tiszaújváros,1987,2009-07-13,
2567,Mikszáth Kálmán,Balassagyarmat,1962,2010-07-25,
2574,Bessenyei György,Bakonszeg,1991,2010-11-09,
2624,Neumann János,Kecskemét,2002,2008-05-10,
3100,Óvári Ferenc,Balatonalmádi,2018,2018-05-03,
3151,Mikszáth Kálmán,Mohora,1979,2009-12-28,
3349,Kablay Lajos,Szolnok,2002,2010-08-09,
3362,Csány László,Keszthely,1998,2011-01-14,
